time_s,x_m,y_m,z_m,qx,qy,qz,qw,frame_id,child_frame_id
1786133625.4916496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133625.5402792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133625.6050572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133625.6525297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133625.7005641,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133625.7482817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133625.7964003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133625.8446066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133625.8925126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133625.940326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.0042617,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.052114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.100123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.148282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.1955094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.243171,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.291818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.3396897,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.403966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.4518015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.4997954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.5475152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.595384,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.6433923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.6914787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.754585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.8034487,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.850675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.8994217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.9471538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133626.9950535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133627.0426855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133627.0909963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133627.1544342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
